[2025-05-21T16:34:50.996257] OP: AUTOINSERCAO ID: 1 | Altura AVL: 1 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 8 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 16 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 83 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 23 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 40 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 41 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 93 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 82 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 14 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 4 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.507897500] OP: AUTOINSERCAO ID: 7 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 61 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 22 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 25 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 73 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 66 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 48 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 91 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 6 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 13 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 74 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 98 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.508894400] OP: AUTOINSERCAO ID: 17 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 79 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 53 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 65 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 39 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 87 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 49 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 71 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 10 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 11 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 28 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.509892200] OP: AUTOINSERCAO ID: 1 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 60 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 62 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 12 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 69 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 20 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 94 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 67 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 96 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 88 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 9 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 43 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.510890] OP: AUTOINSERCAO ID: 86 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 89 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 85 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 55 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 30 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 33 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 37 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 2 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 31 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 63 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 84 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 29 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.511886400] OP: AUTOINSERCAO ID: 92 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.512883800] OP: AUTOINSERCAO ID: 58 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.512883800] OP: AUTOINSERCAO ID: 77 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.512883800] OP: AUTOINSERCAO ID: 3 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.512883800] OP: AUTOINSERCAO ID: 19 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.512883800] OP: AUTOINSERCAO ID: 57 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.512883800] OP: AUTOINSERCAO ID: 81 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.512883800] OP: AUTOINSERCAO ID: 47 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.512883800] OP: AUTOINSERCAO ID: 68 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.512883800] OP: AUTOINSERCAO ID: 35 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T18:58:37.512883800] OP: AUTOINSERCAO ID: 27 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.009765600] OP: AUTOINSERCAO ID: 78 | Altura AVL: 1 | Rotação: nenhuma
[2025-05-21T22:19:06.022731700] OP: AUTOINSERCAO ID: 23 | Altura AVL: 2 | Rotação: nenhuma
[2025-05-21T22:19:06.022731700] OP: AUTOINSERCAO ID: 75 | Altura AVL: 2 | Rotação: rotação dupla esquerda-direita
[2025-05-21T22:19:06.022731700] OP: AUTOINSERCAO ID: 43 | Altura AVL: 3 | Rotação: nenhuma
[2025-05-21T22:19:06.022731700] OP: AUTOINSERCAO ID: 1 | Altura AVL: 3 | Rotação: nenhuma
[2025-05-21T22:19:06.023734200] OP: AUTOINSERCAO ID: 48 | Altura AVL: 3 | Rotação: rotação dupla esquerda-direita
[2025-05-21T22:19:06.023734200] OP: AUTOINSERCAO ID: 68 | Altura AVL: 4 | Rotação: nenhuma
[2025-05-21T22:19:06.023734200] OP: AUTOINSERCAO ID: 83 | Altura AVL: 4 | Rotação: nenhuma
[2025-05-21T22:19:06.023734200] OP: AUTOINSERCAO ID: 84 | Altura AVL: 4 | Rotação: nenhuma
[2025-05-21T22:19:06.023734200] OP: AUTOINSERCAO ID: 85 | Altura AVL: 4 | Rotação: rotação simples esquerda
[2025-05-21T22:19:06.023734200] OP: AUTOINSERCAO ID: 76 | Altura AVL: 4 | Rotação: nenhuma
[2025-05-21T22:19:06.023734200] OP: AUTOINSERCAO ID: 37 | Altura AVL: 4 | Rotação: nenhuma
[2025-05-21T22:19:06.023734200] OP: AUTOINSERCAO ID: 26 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.023734200] OP: AUTOINSERCAO ID: 2 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.024725900] OP: AUTOINSERCAO ID: 74 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.024725900] OP: AUTOINSERCAO ID: 57 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.024725900] OP: AUTOINSERCAO ID: 44 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.024725900] OP: AUTOINSERCAO ID: 88 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.024725900] OP: AUTOINSERCAO ID: 16 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.024725900] OP: AUTOINSERCAO ID: 13 | Altura AVL: 5 | Rotação: rotação simples direita
[2025-05-21T22:19:06.024725900] OP: AUTOINSERCAO ID: 17 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.024725900] OP: AUTOINSERCAO ID: 11 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.025725] OP: AUTOINSERCAO ID: 21 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.025725] OP: AUTOINSERCAO ID: 19 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:19:06.025725] OP: AUTOINSERCAO ID: 90 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.025725] OP: AUTOINSERCAO ID: 52 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.025725] OP: AUTOINSERCAO ID: 49 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.025725] OP: AUTOINSERCAO ID: 31 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.025725] OP: AUTOINSERCAO ID: 56 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.025725] OP: AUTOINSERCAO ID: 55 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.026721200] OP: AUTOINSERCAO ID: 28 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.026721200] OP: AUTOINSERCAO ID: 25 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 93 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 42 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 99 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 45 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 51 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 7 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 94 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 38 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 15 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 71 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 62 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 81 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.027719] OP: AUTOINSERCAO ID: 54 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.028715100] OP: AUTOINSERCAO ID: 100 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.028715100] OP: AUTOINSERCAO ID: 69 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.028715100] OP: AUTOINSERCAO ID: 82 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.028715100] OP: AUTOINSERCAO ID: 95 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.028715100] OP: AUTOINSERCAO ID: 32 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.028715100] OP: AUTOINSERCAO ID: 47 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.028715100] OP: AUTOINSERCAO ID: 4 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.028715100] OP: AUTOINSERCAO ID: 30 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.028715100] OP: AUTOINSERCAO ID: 58 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 63 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 92 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 12 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 60 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 64 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 9 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 20 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 98 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 79 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 86 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 34 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 53 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.029712600] OP: AUTOINSERCAO ID: 50 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 27 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 22 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 59 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 8 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 18 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 46 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 41 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 89 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 72 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 61 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 3 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 65 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 80 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.030710700] OP: AUTOINSERCAO ID: 5 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 14 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 70 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 97 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 24 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 6 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 91 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 10 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 96 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 29 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 40 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 66 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 33 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 87 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 67 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.031707] OP: AUTOINSERCAO ID: 73 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.032704] OP: AUTOINSERCAO ID: 39 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.032704] OP: AUTOINSERCAO ID: 77 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.032704] OP: AUTOINSERCAO ID: 36 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:19:06.032704] OP: AUTOINSERCAO ID: 35 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:59:06.116537] OP: AUTOINSERCAO ID: 12 | Altura AVL: 1 | Rotação: nenhuma
[2025-05-21T22:59:06.128504400] OP: AUTOINSERCAO ID: 13 | Altura AVL: 2 | Rotação: nenhuma
[2025-05-21T22:59:06.128504400] OP: AUTOINSERCAO ID: 27 | Altura AVL: 2 | Rotação: rotação simples esquerda
[2025-05-21T22:59:06.129501300] OP: AUTOINSERCAO ID: 91 | Altura AVL: 3 | Rotação: nenhuma
[2025-05-21T22:59:06.129501300] OP: AUTOINSERCAO ID: 32 | Altura AVL: 3 | Rotação: nenhuma
[2025-05-21T22:59:06.129501300] OP: AUTOINSERCAO ID: 79 | Altura AVL: 3 | Rotação: rotação simples esquerda
[2025-05-21T22:59:06.129501300] OP: AUTOINSERCAO ID: 75 | Altura AVL: 3 | Rotação: nenhuma
[2025-05-21T22:59:06.129501300] OP: AUTOINSERCAO ID: 43 | Altura AVL: 4 | Rotação: nenhuma
[2025-05-21T22:59:06.129501300] OP: AUTOINSERCAO ID: 37 | Altura AVL: 4 | Rotação: nenhuma
[2025-05-21T22:59:06.129501300] OP: AUTOINSERCAO ID: 40 | Altura AVL: 4 | Rotação: nenhuma
[2025-05-21T22:59:06.129501300] OP: AUTOINSERCAO ID: 80 | Altura AVL: 4 | Rotação: rotação simples esquerda
[2025-05-21T22:59:06.129501300] OP: AUTOINSERCAO ID: 59 | Altura AVL: 4 | Rotação: nenhuma
[2025-05-21T22:59:06.130498600] OP: AUTOINSERCAO ID: 9 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.130498600] OP: AUTOINSERCAO ID: 78 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.130498600] OP: AUTOINSERCAO ID: 100 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.130498600] OP: AUTOINSERCAO ID: 82 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.130498600] OP: AUTOINSERCAO ID: 90 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.130498600] OP: AUTOINSERCAO ID: 85 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.130498600] OP: AUTOINSERCAO ID: 10 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.130498600] OP: AUTOINSERCAO ID: 76 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.130498600] OP: AUTOINSERCAO ID: 69 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.130498600] OP: AUTOINSERCAO ID: 3 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.131496] OP: AUTOINSERCAO ID: 50 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.131496] OP: AUTOINSERCAO ID: 96 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.131496] OP: AUTOINSERCAO ID: 42 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.131496] OP: AUTOINSERCAO ID: 41 | Altura AVL: 5 | Rotação: nenhuma
[2025-05-21T22:59:06.131496] OP: AUTOINSERCAO ID: 17 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.131496] OP: AUTOINSERCAO ID: 2 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.131496] OP: AUTOINSERCAO ID: 6 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.132493900] OP: AUTOINSERCAO ID: 34 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.132493900] OP: AUTOINSERCAO ID: 77 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.132493900] OP: AUTOINSERCAO ID: 1 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.132493900] OP: AUTOINSERCAO ID: 53 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.132493900] OP: AUTOINSERCAO ID: 38 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.132493900] OP: AUTOINSERCAO ID: 92 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.132493900] OP: AUTOINSERCAO ID: 68 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.132493900] OP: AUTOINSERCAO ID: 15 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.132493900] OP: AUTOINSERCAO ID: 74 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.133490800] OP: AUTOINSERCAO ID: 20 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.133490800] OP: AUTOINSERCAO ID: 72 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.133490800] OP: AUTOINSERCAO ID: 70 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.133490800] OP: AUTOINSERCAO ID: 64 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.133490800] OP: AUTOINSERCAO ID: 31 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.133490800] OP: AUTOINSERCAO ID: 54 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.133490800] OP: AUTOINSERCAO ID: 93 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.133490800] OP: AUTOINSERCAO ID: 61 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.133490800] OP: AUTOINSERCAO ID: 11 | Altura AVL: 6 | Rotação: nenhuma
[2025-05-21T22:59:06.133490800] OP: AUTOINSERCAO ID: 52 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 23 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 86 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 19 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 95 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 60 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 33 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 56 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 35 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 47 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 28 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 44 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.134488] OP: AUTOINSERCAO ID: 8 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.135485500] OP: AUTOINSERCAO ID: 99 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.135485500] OP: AUTOINSERCAO ID: 83 | Altura AVL: 7 | Rotação: nenhuma
[2025-05-21T22:59:06.135485500] OP: AUTOINSERCAO ID: 71 | Altura AVL: 8 | Rotação: nenhuma
[2025-05-21T22:59:06.135485500] OP: AUTOINSERCAO ID: 46 | Altura AVL: 8 | Rotação: nenhuma
